[(1/2, 0, 0, 5/2), (0, 1/230, 1/2, 147/115), (0, 0, 1, 0), (0, 0, 0, 5)]
[(1/2, 1/1794, 5/78, 3709/598), (0, 1/897, 5/39, 3709/299), (0, 0, 3/2, 15/2), (0, 0, 0, 13)]
[(1/2, 0, 0, 35/2), (0, 1/1610, 53/70, 676/805), (0, 0, 1, 31), (0, 0, 0, 35)]
[(1/2, 1/1150, 0, 1803/575), (0, 1/575, 0, 3606/575), (0, 0, 1/2, 25/2), (0, 0, 0, 25)]
[(1/2, 1/598, 0, 1780/299), (0, 1/299, 0, 3560/299), (0, 0, 1/2, 13/2), (0, 0, 0, 13)]
[(1/2, 0, 0, 1/2), (0, 1/46, 1/2, 9/23), (0, 0, 1, 0), (0, 0, 0, 1)]
[(1/2, 0, 0, 31/2), (0, 1/1426, 1/2, 6104/713), (0, 0, 1, 0), (0, 0, 0, 31)]
[(1/2, 1/1886, 10/41, 30829/943), (0, 1/943, 20/41, 22995/943), (0, 0, 1/2, 17/2), (0, 0, 0, 41)]
[(1/2, 1/1978, 0, 35728/989), (0, 1/989, 0, 28929/989), (0, 0, 1/2, 43/2), (0, 0, 0, 43)]
[(1/2, 1/3542, 73/154, 9563/3542), (0, 1/1771, 69/154, 173203/3542), (0, 0, 1/2, 67/2), (0, 0, 0, 77)]
[(1/2, 1/2990, 0, 50103/1495), (0, 1/1495, 0, 3031/1495), (0, 0, 1/2, 65/2), (0, 0, 0, 65)]
[(1/2, 1/46, 0, 9/23), (0, 1/23, 0, 18/23), (0, 0, 1/2, 1/2), (0, 0, 0, 1)]
[(1/2, 1/1794, 107/156, 10707/1196), (0, 1/897, 97/156, 2577/1196), (0, 0, 3/4, 63/4), (0, 0, 0, 26)]
[(1/2, 1/1058, 0, 6909/529), (0, 1/529, 0, 1651/529), (0, 0, 1/2, 23/2), (0, 0, 0, 23)]
[(1/2, 1/1702, 0, 30852/851), (0, 1/851, 0, 30217/851), (0, 0, 1/2, 37/2), (0, 0, 0, 37)]
[(1/2, 1/2622, 131/114, 4215/874), (0, 1/1311, 91/114, 11489/874), (0, 0, 3/2, 31/2), (0, 0, 0, 19)]
[(1/2, 1/2346, 38/51, 2717/391), (0, 1/1173, 76/51, 5434/391), (0, 0, 3/2, 7/2), (0, 0, 0, 17)]
[(1/2, 1/1518, 53/132, 8637/1012), (0, 1/759, 7/132, 11455/1012), (0, 0, 3/4, 23/4), (0, 0, 0, 22)]
[(1/2, 1/2714, 0, 57877/1357), (0, 1/1357, 0, 35691/1357), (0, 0, 1/2, 59/2), (0, 0, 0, 59)]
[(1/2, 0, 0, 25/2), (0, 1/1150, 1/2, 8197/575), (0, 0, 1, 0), (0, 0, 0, 25)]
[(1/2, 1/2990, 0, 17328/1495), (0, 1/1495, 0, 34656/1495), (0, 0, 1/2, 65/2), (0, 0, 0, 65)]
[(1/2, 1/2530, 3/110, 108877/2530), (0, 1/1265, 3/55, 39302/1265), (0, 0, 1/2, 91/2), (0, 0, 0, 55)]
[(1/2, 1/2806, 1/122, 56943/2806), (0, 1/1403, 1/61, 56943/1403), (0, 0, 1/2, 63/2), (0, 0, 0, 61)]
[(1/2, 1/1426, 0, 6104/713), (0, 1/713, 0, 12208/713), (0, 0, 1/2, 31/2), (0, 0, 0, 31)]
[(1/2, 1/230, 0, 78/115), (0, 1/115, 0, 156/115), (0, 0, 1/2, 5/2), (0, 0, 0, 5)]
[(1/2, 1/1518, 19/132, 8821/1012), (0, 1/759, 19/66, 8821/506), (0, 0, 3/4, 41/4), (0, 0, 0, 22)]
[(1/2, 1/598, 0, 3459/299), (0, 1/299, 0, 3031/299), (0, 0, 1/2, 13/2), (0, 0, 0, 13)]
[(1/2, 1/230, 0, 147/115), (0, 1/115, 0, 294/115), (0, 0, 1/2, 5/2), (0, 0, 0, 5)]
[(1/2, 1/1702, 0, 18432/851), (0, 1/851, 0, 5377/851), (0, 0, 1/2, 37/2), (0, 0, 0, 37)]
[(1/2, 0, 0, 13/2), (0, 1/598, 1/2, 3459/299), (0, 0, 1, 0), (0, 0, 0, 13)]
[(1/2, 0, 0, 11/2), (0, 1/1012, 21/44, 200/253), (0, 0, 2, 3), (0, 0, 0, 11)]
[(1/2, 1/1334, 9/116, 149467/2668), (0, 1/667, 9/58, 72095/1334), (0, 0, 1/4, 165/4), (0, 0, 0, 58)]
[(1/2, 0, 0, 5/2), (0, 1/230, 1/2, 78/115), (0, 0, 1, 0), (0, 0, 0, 5)]
[(1/2, 0, 0, 13/2), (0, 1/598, 1/2, 1780/299), (0, 0, 1, 0), (0, 0, 0, 13)]
[(1/2, 1/1426, 0, 16960/713), (0, 1/713, 0, 11817/713), (0, 0, 1/2, 31/2), (0, 0, 0, 31)]
[(1/2, 1/1150, 0, 8197/575), (0, 1/575, 0, 2019/575), (0, 0, 1/2, 25/2), (0, 0, 0, 25)]
[(1/2, 1/1334, 7/58, 59703/1334), (0, 1/667, 7/29, 21017/667), (0, 0, 1/4, 19/4), (0, 0, 0, 58)]
[(1/2, 0, 0, 37/2), (0, 1/1702, 1/2, 18432/851), (0, 0, 1, 0), (0, 0, 0, 37)]
[(1/2, 0, 3/8, 7/8), (0, 1/414, 43/72, 2531/552), (0, 0, 3/4, 7/4), (0, 0, 0, 12)]
[(1/2, 1/966, 59/42, 443/322), (0, 1/483, 55/42, 1691/322), (0, 0, 3/2, 9/2), (0, 0, 0, 7)]
[(1/2, 1/1978, 5/43, 33451/989), (0, 1/989, 10/43, 24375/989), (0, 0, 1/2, 59/2), (0, 0, 0, 43)]
[(1/2, 1/1426, 8/31, 13418/713), (0, 1/713, 1/62, 21587/1426), (0, 0, 1/2, 45/2), (0, 0, 0, 31)]
[(1/2, 0, 3/8, 135/8), (0, 1/690, 5/24, 4417/920), (0, 0, 3/4, 55/4), (0, 0, 0, 20)]
[(1/2, 0, 0, 7/2), (0, 1/644, 53/28, 936/161), (0, 0, 2, 1), (0, 0, 0, 7)]
[(1/2, 1/874, 9/76, 59307/1748), (0, 1/437, 9/38, 26095/874), (0, 0, 1/4, 101/4), (0, 0, 0, 38)]
[(1/2, 1/1518, 59/66, 4031/506), (0, 1/759, 19/66, 3255/506), (0, 0, 3/2, 19/2), (0, 0, 0, 11)]
[(1/2, 0, 0, 29/2), (0, 1/1334, 17/58, 7760/667), (0, 0, 1, 14), (0, 0, 0, 29)]
[(1/2, 0, 1/8, 211/8), (0, 1/460, 7/80, 66243/1840), (0, 0, 1/4, 51/4), (0, 0, 0, 40)]
[(1/2, 1/2622, 59/114, 9459/874), (0, 1/1311, 59/57, 1156/437), (0, 0, 3/2, 7/2), (0, 0, 0, 19)]
[(1/2, 1/874, 1/38, 13427/874), (0, 1/437, 1/19, 13427/437), (0, 0, 1/4, 149/4), (0, 0, 0, 38)]
[(1/2, 1/690, 7/12, 1829/460), (0, 1/345, 5/12, 783/460), (0, 0, 3/4, 25/4), (0, 0, 0, 10)]
[(1/2, 1/506, 5/44, 7097/1012), (0, 1/253, 5/22, 7097/506), (0, 0, 1/4, 3/4), (0, 0, 0, 22)]
[(1/2, 0, 0, 7/2), (0, 1/1288, 37/56, 1066/161), (0, 0, 4, 3), (0, 0, 0, 7)]
[(1/2, 1/598, 1/13, 2585/299), (0, 1/299, 2/13, 1283/299), (0, 0, 1/2, 7/2), (0, 0, 0, 13)]
[(1/2, 0, 0, 19/2), (0, 1/874, 1/38, 7185/437), (0, 0, 1, 3), (0, 0, 0, 19)]
[(1/2, 1/1426, 15/62, 51377/1426), (0, 1/713, 29/124, 173423/2852), (0, 0, 1/4, 45/4), (0, 0, 0, 62)]
[(1/2, 1/3634, 23/79, 21767/1817), (0, 1/1817, 13/158, 132493/3634), (0, 0, 1/2, 133/2), (0, 0, 0, 79)]
[(1/2, 1/3634, 17/158, 212009/3634), (0, 1/1817, 17/79, 68466/1817), (0, 0, 1/2, 65/2), (0, 0, 0, 79)]
[(1/2, 0, 1/8, 109/8), (0, 1/506, 5/88, 3591/2024), (0, 0, 1/4, 109/4), (0, 0, 0, 44)]
[(1/2, 1/1334, 9/58, 28607/1334), (0, 1/667, 9/29, 9264/667), (0, 0, 1/2, 35/2), (0, 0, 0, 29)]
[(1/2, 1/1702, 35/148, 125593/3404), (0, 1/851, 33/148, 22267/3404), (0, 0, 1/4, 269/4), (0, 0, 0, 74)]
[(1/2, 1/874, 1/19, 4356/437), (0, 1/437, 2/19, 409/437), (0, 0, 1/2, 15/2), (0, 0, 0, 19)]
[(1/2, 0, 1/8, 83/8), (0, 1/322, 13/56, 27649/1288), (0, 0, 1/4, 83/4), (0, 0, 0, 28)]
[(1/2, 1/1702, 1/74, 74285/1702), (0, 1/851, 1/37, 11311/851), (0, 0, 1/4, 27/4), (0, 0, 0, 74)]
[(1/2, 0, 1/8, 19/8), (0, 1/230, 7/40, 10307/920), (0, 0, 1/4, 19/4), (0, 0, 0, 20)]
[(1/2, 0, 0, 7/2), (0, 1/322, 11/14, 354/161), (0, 0, 1, 3), (0, 0, 0, 7)]
[(1/2, 1/1334, 9/58, 30263/1334), (0, 1/667, 9/29, 10920/667), (0, 0, 1/2, 23/2), (0, 0, 0, 29)]
[(1/2, 1/782, 5/68, 38377/1564), (0, 1/391, 5/34, 11789/782), (0, 0, 1/4, 27/4), (0, 0, 0, 34)]
[(1/2, 1/1886, 6/41, 26827/943), (0, 1/943, 12/41, 14991/943), (0, 0, 1/2, 9/2), (0, 0, 0, 41)]
[(1/2, 0, 1/8, 109/8), (0, 1/460, 13/80, 42783/1840), (0, 0, 1/4, 109/4), (0, 0, 0, 40)]
[(1/2, 1/1518, 20/33, 2395/253), (0, 1/759, 40/33, 2007/253), (0, 0, 3/2, 3/2), (0, 0, 0, 11)]
[(1/2, 1/2254, 2/49, 10888/1127), (0, 1/1127, 4/49, 21776/1127), (0, 0, 1/2, 39/2), (0, 0, 0, 49)]
[(1/2, 0, 1/8, 237/8), (0, 1/644, 27/112, 52121/2576), (0, 0, 1/4, 13/4), (0, 0, 0, 56)]
[(1/2, 1/966, 53/84, 2059/644), (0, 1/483, 43/84, 1381/644), (0, 0, 3/4, 17/4), (0, 0, 0, 14)]
[(1/2, 1/1058, 4/23, 8887/529), (0, 1/529, 8/23, 5607/529), (0, 0, 1/2, 43/2), (0, 0, 0, 23)]
[(1/2, 1/690, 1/6, 1777/230), (0, 1/345, 1/3, 627/115), (0, 0, 3/4, 15/4), (0, 0, 0, 10)]
[(1/2, 1/1518, 20/33, 3292/253), (0, 1/759, 61/132, 10397/1012), (0, 0, 3/4, 63/4), (0, 0, 0, 22)]
