[(1/2, 1/6, 0, 1/3), (0, 1/3, 0, 2/3), (0, 0, 1/2, 1/2), (0, 0, 0, 1)]
[(1/2, 0, 1/4, 109/4), (0, 1/162, 17/108, 1603/324), (0, 0, 1/2, 1/2), (0, 0, 0, 54)]
[(1/2, 1/474, 17/79, 11077/237), (0, 1/237, 34/79, 3431/237), (0, 0, 1/2, 157/2), (0, 0, 0, 79)]
[(1/2, 0, 1/4, 19/4), (0, 1/30, 3/20, 103/60), (0, 0, 1/2, 19/2), (0, 0, 0, 10)]
[(1/2, 1/90, 1/30, 509/90), (0, 1/45, 1/15, 509/45), (0, 0, 1/2, 1/2), (0, 0, 0, 15)]
[(1/2, 1/642, 9/214, 40865/642), (0, 1/321, 9/107, 6518/321), (0, 0, 1/2, 1/2), (0, 0, 0, 107)]
[(1/2, 1/258, 0, 5512/129), (0, 1/129, 0, 5477/129), (0, 0, 1/2, 43/2), (0, 0, 0, 43)]
[(1/2, 1/366, 8/61, 10012/183), (0, 1/183, 16/61, 8861/183), (0, 0, 1/2, 121/2), (0, 0, 0, 61)]
[(1/2, 0, 1/4, 179/4), (0, 1/270, 73/180, 30493/540), (0, 0, 1/2, 179/2), (0, 0, 0, 90)]
[(1/2, 0, 1/4, 157/4), (0, 1/234, 23/156, 9181/468), (0, 0, 1/2, 1/2), (0, 0, 0, 78)]
[(1/2, 1/90, 11/30, 311/90), (0, 1/45, 7/30, 667/90), (0, 0, 1/2, 29/2), (0, 0, 0, 15)]
[(1/2, 0, 1/4, 429/4), (0, 1/324, 25/72, 34729/648), (0, 0, 1/2, 213/2), (0, 0, 0, 108)]
[(1/2, 1/30, 2/5, 28/15), (0, 1/15, 3/10, 97/30), (0, 0, 1/2, 1/2), (0, 0, 0, 5)]
[(1/2, 1/222, 5/74, 7025/222), (0, 1/111, 5/37, 2918/111), (0, 0, 1/2, 1/2), (0, 0, 0, 37)]
[(1/2, 1/642, 9/214, 4931/642), (0, 1/321, 9/107, 4931/321), (0, 0, 1/2, 213/2), (0, 0, 0, 107)]
[(1/2, 0, 0, 39/2), (0, 1/234, 1/2, 3505/117), (0, 0, 1, 0), (0, 0, 0, 39)]
[(1/2, 1/450, 7/75, 1582/225), (0, 1/225, 14/75, 3164/225), (0, 0, 1/2, 149/2), (0, 0, 0, 75)]
[(1/2, 1/78, 4/13, 100/39), (0, 1/39, 3/26, 361/78), (0, 0, 1/2, 1/2), (0, 0, 0, 13)]
[(1/2, 0, 1/4, 323/4), (0, 1/324, 91/216, 53767/648), (0, 0, 1/2, 107/2), (0, 0, 0, 108)]
[(1/2, 0, 1/4, 101/4), (0, 1/150, 47/100, 14053/300), (0, 0, 1/2, 1/2), (0, 0, 0, 50)]
[(1/2, 0, 1/4, 179/4), (0, 1/270, 37/180, 38377/540), (0, 0, 1/2, 179/2), (0, 0, 0, 90)]
[(1/2, 1/486, 49/162, 22793/486), (0, 1/243, 17/162, 5977/486), (0, 0, 1/2, 1/2), (0, 0, 0, 81)]
[(1/2, 1/390, 0, 889/195), (0, 1/195, 0, 1778/195), (0, 0, 1/2, 65/2), (0, 0, 0, 65)]
[(1/2, 1/474, 45/158, 2573/474), (0, 1/237, 11/158, 5383/474), (0, 0, 1/2, 157/2), (0, 0, 0, 79)]
[(1/2, 0, 0, 57/2), (0, 1/342, 35/114, 3481/171), (0, 0, 1, 17), (0, 0, 0, 57)]
[(1/2, 0, 1/4, 147/4), (0, 1/222, 27/148, 30367/444), (0, 0, 1/2, 147/2), (0, 0, 0, 74)]
[(1/2, 1/390, 0, 7561/195), (0, 1/195, 0, 2447/195), (0, 0, 1/2, 65/2), (0, 0, 0, 65)]
[(1/2, 0, 1/4, 53/4), (0, 1/78, 23/52, 1069/156), (0, 0, 1/2, 1/2), (0, 0, 0, 26)]
[(1/2, 1/78, 5/26, 515/78), (0, 1/39, 5/13, 8/39), (0, 0, 1/2, 1/2), (0, 0, 0, 13)]
[(1/2, 0, 1/4, 99/4), (0, 1/150, 47/100, 5947/300), (0, 0, 1/2, 99/2), (0, 0, 0, 50)]
[(1/2, 1/222, 16/37, 3388/111), (0, 1/111, 27/74, 5227/222), (0, 0, 1/2, 1/2), (0, 0, 0, 37)]
[(1/2, 1/30, 2/5, 22/15), (0, 1/15, 3/10, 103/30), (0, 0, 1/2, 9/2), (0, 0, 0, 5)]
[(1/2, 1/234, 0, 3505/117), (0, 1/117, 0, 2447/117), (0, 0, 1/2, 39/2), (0, 0, 0, 39)]
[(1/2, 0, 1/4, 229/4), (0, 1/306, 41/204, 30835/612), (0, 0, 1/2, 25/2), (0, 0, 0, 102)]
[(1/2, 1/450, 32/75, 1618/225), (0, 1/225, 53/150, 6247/450), (0, 0, 1/2, 1/2), (0, 0, 0, 75)]
[(1/2, 1/390, 31/130, 4649/390), (0, 1/195, 31/65, 4649/195), (0, 0, 1/2, 1/2), (0, 0, 0, 65)]
[(1/2, 0, 1/4, 173/4), (0, 1/258, 27/172, 14593/516), (0, 0, 1/2, 1/2), (0, 0, 0, 86)]
[(1/2, 0, 0, 13/2), (0, 1/78, 1/2, 463/39), (0, 0, 1, 0), (0, 0, 0, 13)]
[(1/2, 1/234, 31/78, 4649/234), (0, 1/117, 23/78, 55/234), (0, 0, 1/2, 1/2), (0, 0, 0, 39)]
[(1/2, 1/18, 0, 22/9), (0, 1/9, 0, 17/9), (0, 0, 1/2, 3/2), (0, 0, 0, 3)]
[(1/2, 1/666, 0, 22972/333), (0, 1/333, 0, 8981/333), (0, 0, 1/2, 111/2), (0, 0, 0, 111)]
[(1/2, 0, 0, 37/2), (0, 1/222, 1/2, 2437/111), (0, 0, 1, 0), (0, 0, 0, 37)]
